median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
9.72E+04,1.49E+00,4.90E+01,1.22E+03,2.82E+02,5.70E+02,2.64E+02,3.7829999999999998e+001 -1.2227000000000000e+002,
1.05E+05,1.10E+00,4.80E+01,1.80E+03,4.32E+02,9.87E+02,3.74E+02,3.7829999999999998e+001 -1.2227000000000000e+002,
1.04E+05,1.41E+00,5.20E+01,1.51E+03,3.90E+02,9.01E+02,4.03E+02,3.7829999999999998e+001 -1.2228000000000000e+002,
1.91E+05,3.48E+00,5.20E+01,1.47E+03,3.30E+02,6.89E+02,3.09E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.76E+05,2.59E+00,5.20E+01,2.43E+03,7.15E+02,1.38E+03,6.96E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.55E+05,2.10E+00,5.20E+01,1.67E+03,4.19E+02,9.46E+02,3.95E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.50E+05,1.29E+00,5.10E+01,9.36E+02,3.11E+02,5.17E+02,2.49E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.19E+05,1.02E+00,4.90E+01,7.13E+02,2.02E+02,4.62E+02,1.89E+02,3.7840000000000003e+001 -1.2226000000000001e+002,
1.89E+05,3.96E+00,5.20E+01,9.50E+02,2.02E+02,4.67E+02,1.98E+02,3.7840000000000003e+001 -1.2226000000000001e+002,
1.84E+05,3.01E+00,5.20E+01,1.44E+03,3.11E+02,6.60E+02,2.92E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.82E+05,2.68E+00,5.20E+01,1.66E+03,4.20E+02,7.18E+02,3.82E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.43E+05,2.03E+00,5.00E+01,1.13E+03,3.22E+02,6.16E+02,3.04E+02,3.7829999999999998e+001 -1.2226000000000001e+002,
1.38E+05,1.73E+00,4.30E+01,1.01E+03,3.12E+02,5.58E+02,2.53E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
1.88E+05,9.51E-01,4.00E+01,6.24E+02,1.95E+02,4.23E+02,1.60E+02,3.7820000000000000e+001 -1.2226000000000001e+002,
1.13E+05,1.77E+00,4.00E+01,9.46E+02,3.75E+02,7.00E+02,3.52E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
1.72E+05,9.22E-01,2.10E+01,8.96E+02,4.53E+02,7.35E+02,4.38E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
9.38E+04,1.50E+00,4.30E+01,1.87E+03,4.56E+02,1.06E+03,4.07E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
9.75E+04,1.11E+00,4.10E+01,3.22E+03,8.53E+02,1.96E+03,7.20E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
1.04E+05,1.25E+00,5.20E+01,1.63E+03,4.56E+02,1.16E+03,4.00E+02,3.7820000000000000e+001 -1.2227000000000000e+002,
8.75E+04,1.61E+00,5.20E+01,1.17E+03,2.35E+02,7.01E+02,2.33E+02,3.7820000000000000e+001 -1.2228000000000000e+002,
8.31E+04,1.41E+00,5.20E+01,9.45E+02,2.43E+02,5.76E+02,2.20E+02,3.7820000000000000e+001 -1.2228000000000000e+002,
8.75E+04,1.51E+00,5.20E+01,1.24E+03,2.88E+02,6.22E+02,2.59E+02,3.7820000000000000e+001 -1.2228000000000000e+002,
8.53E+04,8.17E-01,5.20E+01,1.49E+03,3.35E+02,7.28E+02,2.44E+02,3.7820000000000000e+001 -1.2228000000000000e+002,
8.03E+04,1.22E+00,5.20E+01,1.39E+03,3.41E+02,1.07E+03,3.04E+02,3.7820000000000000e+001 -1.2228000000000000e+002,
6.00E+04,2.56E+00,2.00E+00,1.58E+02,4.30E+01,9.40E+01,5.70E+01,3.7820000000000000e+001 -1.2229000000000001e+002,
7.57E+04,3.39E+00,5.20E+01,1.12E+03,2.11E+02,5.54E+02,1.87E+02,3.7829999999999998e+001 -1.2229000000000001e+002,
7.50E+04,6.12E+00,4.90E+01,1.35E+02,2.90E+01,8.60E+01,2.30E+01,3.7820000000000000e+001 -1.2229000000000001e+002,
8.61E+04,9.01E-01,5.00E+01,7.60E+02,1.90E+02,3.77E+02,1.22E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
7.61E+04,1.19E+00,5.20E+01,1.22E+03,2.37E+02,5.21E+02,1.59E+02,3.7810000000000002e+001 -1.2230000000000000e+002,
7.35E+04,2.59E+00,4.80E+01,8.28E+02,1.82E+02,3.92E+02,1.33E+02,3.7810000000000002e+001 -1.2230000000000000e+002,
7.84E+04,1.17E+00,5.20E+01,1.01E+03,2.09E+02,6.04E+02,1.87E+02,3.7810000000000002e+001 -1.2230000000000000e+002,
8.44E+04,8.06E-01,4.80E+01,1.46E+03,3.54E+02,7.88E+02,3.32E+02,3.7810000000000002e+001 -1.2230000000000000e+002,
8.13E+04,2.61E+00,5.20E+01,1.03E+03,2.44E+02,4.92E+02,1.47E+02,3.7799999999999997e+001 -1.2229000000000001e+002,
8.50E+04,1.85E+00,5.20E+01,5.72E+02,1.09E+02,2.74E+02,8.20E+01,3.7810000000000002e+001 -1.2230000000000000e+002,
1.29E+05,9.80E-01,4.60E+01,2.80E+03,6.44E+02,1.82E+03,6.11E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
8.25E+04,1.77E+00,2.60E+01,7.68E+02,1.52E+02,3.92E+02,1.27E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
9.52E+04,7.29E-01,4.60E+01,9.35E+02,2.97E+02,5.82E+02,2.77E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
7.50E+04,1.75E+00,4.90E+01,8.44E+02,2.04E+02,5.60E+02,1.52E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
6.75E+04,5.00E-01,4.60E+01,1.20E+01,4.00E+00,1.80E+01,7.00E+00,3.7810000000000002e+001 -1.2229000000000001e+002,
1.38E+05,2.48E+00,2.00E+01,8.35E+02,1.61E+02,2.90E+02,1.33E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
1.78E+05,9.24E-01,1.70E+01,1.24E+03,4.62E+02,7.62E+02,4.39E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.02E+05,2.45E+00,3.60E+01,2.91E+03,5.62E+02,1.24E+03,5.09E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.08E+05,1.11E+00,1.90E+01,1.21E+03,2.43E+02,7.21E+02,2.07E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.13E+05,8.03E-01,2.30E+01,1.75E+03,3.74E+02,1.05E+03,3.25E+02,3.7810000000000002e+001 -1.2229000000000001e+002,
1.31E+05,2.01E+00,3.80E+01,6.84E+02,1.76E+02,3.44E+02,1.55E+02,3.7799999999999997e+001 -1.2228000000000000e+002,
1.63E+05,1.50E+00,1.70E+01,9.24E+02,2.89E+02,6.09E+02,2.89E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.13E+05,1.17E+00,5.20E+01,2.10E+02,5.60E+01,1.83E+02,5.60E+01,3.7810000000000002e+001 -1.2227000000000000e+002,
1.13E+05,1.52E+00,5.20E+01,3.40E+02,9.70E+01,2.00E+02,8.70E+01,3.7810000000000002e+001 -1.2228000000000000e+002,
1.38E+05,8.08E-01,5.20E+01,3.86E+02,1.64E+02,3.46E+02,1.55E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.19E+05,1.81E+00,3.50E+01,9.48E+02,1.84E+02,4.67E+02,1.69E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
9.82E+04,2.41E+00,5.20E+01,7.73E+02,1.43E+02,3.77E+02,1.15E+02,3.7810000000000002e+001 -1.2228000000000000e+002,
1.19E+05,9.77E-01,4.00E+01,8.80E+02,4.51E+02,5.82E+02,3.80E+02,3.7810000000000002e+001 -1.2227000000000000e+002,
1.63E+05,7.60E-01,1.00E+01,8.75E+02,3.48E+02,5.46E+02,3.30E+02,3.7810000000000002e+001 -1.2227000000000000e+002,
1.38E+05,9.72E-01,1.00E+01,1.05E+02,4.20E+01,1.25E+02,3.90E+01,3.7799999999999997e+001 -1.2227000000000000e+002,
5.00E+05,1.24E+00,5.20E+01,2.49E+02,7.80E+01,3.96E+02,8.50E+01,3.7799999999999997e+001 -1.2227000000000000e+002,
1.63E+05,2.09E+00,1.60E+01,9.94E+02,3.92E+02,8.00E+02,3.62E+02,3.7799999999999997e+001 -1.2227000000000000e+002,
1.38E+05,8.67E-01,5.20E+01,2.15E+02,8.70E+01,9.04E+02,8.80E+01,3.7799999999999997e+001 -1.2228000000000000e+002,
1.63E+05,7.50E-01,5.20E+01,9.60E+01,3.10E+01,1.91E+02,3.40E+01,3.7799999999999997e+001 -1.2228000000000000e+002,
1.88E+05,2.64E+00,2.70E+01,1.06E+03,3.47E+02,7.18E+02,3.02E+02,3.7789999999999999e+001 -1.2227000000000000e+002,
1.79E+05,1.85E+00,3.90E+01,1.72E+03,6.23E+02,1.33E+03,4.67E+02,3.7799999999999997e+001 -1.2227000000000000e+002,
1.30E+05,2.01E+00,3.60E+01,5.33E+03,2.48E+03,3.47E+03,2.32E+03,3.7799999999999997e+001 -1.2226000000000001e+002,
1.84E+05,2.83E+00,3.10E+01,4.60E+03,1.33E+03,2.05E+03,1.18E+03,3.7820000000000000e+001 -1.2226000000000001e+002,
1.25E+05,2.01E+00,2.90E+01,3.35E+02,1.07E+02,2.02E+02,9.10E+01,3.7810000000000002e+001 -1.2226000000000001e+002,
1.70E+05,1.22E+00,2.20E+01,3.68E+03,1.27E+03,2.02E+03,1.25E+03,3.7820000000000000e+001 -1.2226000000000001e+002,
1.93E+05,2.61E+00,3.70E+01,3.63E+03,1.09E+03,1.84E+03,9.80E+02,3.7820000000000000e+001 -1.2226000000000001e+002,
2.58E+05,2.49E+00,2.90E+01,4.66E+03,1.41E+03,2.30E+03,1.25E+03,3.7810000000000002e+001 -1.2225000000000000e+002,
2.73E+05,3.22E+00,2.80E+01,5.81E+03,1.60E+03,2.56E+03,1.50E+03,3.7810000000000002e+001 -1.2225000000000000e+002,
2.38E+05,3.13E+00,3.90E+01,8.54E+02,2.42E+02,3.89E+02,2.28E+02,3.7810000000000002e+001 -1.2225000000000000e+002,
3.50E+05,2.58E+00,5.20E+01,2.16E+03,7.01E+02,8.95E+02,6.13E+02,3.7810000000000002e+001 -1.2225000000000000e+002,
3.36E+05,2.84E+00,3.40E+01,5.87E+03,1.91E+03,2.69E+03,1.79E+03,3.7810000000000002e+001 -1.2226000000000001e+002,
3.13E+05,4.93E+00,5.20E+01,1.51E+03,2.25E+02,6.74E+02,2.44E+02,3.7820000000000000e+001 -1.2223999999999999e+002,
2.69E+05,3.27E+00,5.20E+01,2.03E+03,4.82E+02,7.09E+02,4.56E+02,3.7810000000000002e+001 -1.2223999999999999e+002,
2.59E+05,3.17E+00,5.20E+01,1.76E+03,4.60E+02,6.86E+02,4.22E+02,3.7810000000000002e+001 -1.2225000000000000e+002,
2.76E+05,3.90E+00,5.20E+01,3.48E+03,7.51E+02,1.44E+03,7.18E+02,3.7820000000000000e+001 -1.2223999999999999e+002,
2.25E+05,3.91E+00,2.80E+01,3.34E+03,8.55E+02,1.52E+03,8.02E+02,3.7820000000000000e+001 -1.2225000000000000e+002,
2.63E+05,5.09E+00,5.20E+01,1.42E+03,2.89E+02,5.50E+02,2.53E+02,3.7820000000000000e+001 -1.2225000000000000e+002,
2.19E+05,2.64E+00,3.20E+01,3.81E+03,1.10E+03,1.81E+03,1.02E+03,3.7820000000000000e+001 -1.2225000000000000e+002,
2.55E+05,3.02E+00,2.60E+01,3.96E+03,1.20E+03,1.75E+03,1.22E+03,3.7820000000000000e+001 -1.2225000000000000e+002,
2.24E+05,3.15E+00,5.20E+01,2.38E+03,5.59E+02,9.39E+02,5.19E+02,3.7829999999999998e+001 -1.2225000000000000e+002,
2.43E+05,3.47E+00,3.50E+01,1.61E+03,4.28E+02,6.75E+02,4.22E+02,3.7829999999999998e+001 -1.2225000000000000e+002,
2.32E+05,3.14E+00,5.20E+01,1.28E+03,2.87E+02,5.34E+02,2.91E+02,3.7829999999999998e+001 -1.2225000000000000e+002,
2.19E+05,2.42E+00,2.80E+01,5.02E+03,1.75E+03,2.56E+03,1.66E+03,3.7829999999999998e+001 -1.2225000000000000e+002,
2.34E+05,3.09E+00,5.20E+01,4.19E+03,1.11E+03,1.79E+03,1.04E+03,3.7829999999999998e+001 -1.2225000000000000e+002,
3.28E+05,5.86E+00,5.00E+01,2.52E+03,3.99E+02,9.70E+02,3.73E+02,3.7840000000000003e+001 -1.2223000000000000e+002,
3.48E+05,5.29E+00,4.70E+01,3.18E+03,4.54E+02,1.10E+03,4.85E+02,3.7840000000000003e+001 -1.2223000000000000e+002,
3.66E+05,5.96E+00,4.10E+01,2.58E+03,4.06E+02,7.94E+02,3.76E+02,3.7829999999999998e+001 -1.2223999999999999e+002,
3.35E+05,4.96E+00,3.70E+01,3.34E+02,5.40E+01,9.80E+01,4.70E+01,3.7850000000000001e+001 -1.2223999999999999e+002,
3.74E+05,6.34E+00,5.20E+01,2.80E+03,4.11E+02,1.06E+03,4.03E+02,3.7850000000000001e+001 -1.2223000000000000e+002,
3.90E+05,5.18E+00,5.20E+01,3.53E+03,5.74E+02,1.18E+03,5.55E+02,3.7840000000000003e+001 -1.2223999999999999e+002,
3.91E+05,7.24E+00,5.20E+01,2.61E+03,3.65E+02,9.01E+02,3.67E+02,3.7850000000000001e+001 -1.2223999999999999e+002,
3.37E+05,5.46E+00,2.80E+01,5.29E+03,1.05E+03,2.03E+03,9.56E+02,3.7850000000000001e+001 -1.2222000000000000e+002,
2.95E+05,7.50E+00,5.00E+01,2.94E+03,4.73E+02,1.03E+03,4.79E+02,3.7840000000000003e+001 -1.2222000000000000e+002,
2.92E+05,6.02E+00,4.40E+01,3.42E+03,5.97E+02,1.36E+03,5.97E+02,3.7840000000000003e+001 -1.2220999999999999e+002,
4.12E+05,7.55E+00,4.00E+01,4.99E+03,6.74E+02,1.62E+03,6.54E+02,3.7829999999999998e+001 -1.2220999999999999e+002,
3.12E+05,6.07E+00,3.00E+01,2.21E+03,3.46E+02,8.44E+02,3.43E+02,3.7840000000000003e+001 -1.2220000000000000e+002,
3.26E+05,7.05E+00,3.40E+01,3.04E+03,4.90E+02,1.14E+03,4.96E+02,3.7840000000000003e+001 -1.2220999999999999e+002,
3.93E+05,1.16E+01,1.80E+01,1.62E+03,2.10E+02,5.33E+02,1.94E+02,3.7840000000000003e+001 -1.2219000000000000e+002,
3.19E+05,7.49E+00,3.50E+01,2.87E+03,4.60E+02,1.07E+03,4.43E+02,3.7840000000000003e+001 -1.2220000000000000e+002,
3.33E+05,6.90E+00,3.40E+01,5.07E+03,7.88E+02,1.63E+03,7.66E+02,3.7829999999999998e+001 -1.2220999999999999e+002,
3.35E+05,8.20E+00,2.80E+01,1.33E+03,1.84E+02,4.63E+02,1.90E+02,3.7829999999999998e+001 -1.2219000000000000e+002,
3.51E+05,8.40E+00,2.60E+01,1.59E+03,2.23E+02,5.42E+02,2.11E+02,3.7829999999999998e+001 -1.2220000000000000e+002,
3.69E+05,6.85E+00,2.90E+01,1.79E+03,2.71E+02,6.61E+02,2.69E+02,3.7829999999999998e+001 -1.2219000000000000e+002,
3.66E+05,8.32E+00,3.20E+01,1.84E+03,2.64E+02,6.35E+02,2.63E+02,3.7820000000000000e+001 -1.2219000000000000e+002,
3.67E+05,7.02E+00,3.70E+01,1.23E+03,1.81E+02,4.20E+02,1.76E+02,3.7820000000000000e+001 -1.2220000000000000e+002,
3.63E+05,6.33E+00,3.90E+01,3.77E+03,5.34E+02,1.27E+03,5.00E+02,3.7820000000000000e+001 -1.2220000000000000e+002,
4.83E+05,6.36E+00,3.00E+01,2.92E+02,3.80E+01,1.26E+02,5.20E+01,3.7810000000000002e+001 -1.2218000000000001e+002,
3.31E+05,7.05E+00,5.20E+01,2.38E+03,3.33E+02,8.13E+02,3.50E+02,3.7820000000000000e+001 -1.2220999999999999e+002,
3.24E+05,6.79E+00,4.50E+01,2.96E+03,4.36E+02,1.07E+03,4.26E+02,3.7810000000000002e+001 -1.2220000000000000e+002,
2.17E+05,2.89E+00,5.00E+01,2.83E+03,6.05E+02,1.26E+03,5.52E+02,3.7799999999999997e+001 -1.2220999999999999e+002,
2.33E+05,3.08E+00,3.80E+01,2.25E+03,5.35E+02,9.51E+02,4.87E+02,3.7799999999999997e+001 -1.2220999999999999e+002,
2.96E+05,5.24E+00,5.20E+01,1.39E+03,2.12E+02,5.10E+02,2.24E+02,3.7810000000000002e+001 -1.2220999999999999e+002,
2.74E+05,6.52E+00,5.20E+01,1.97E+03,3.35E+02,7.65E+02,3.08E+02,3.7810000000000002e+001 -1.2222000000000000e+002,
2.28E+05,3.26E+00,5.20E+01,2.18E+03,4.65E+02,1.13E+03,4.60E+02,3.7799999999999997e+001 -1.2222000000000000e+002,
2.00E+05,3.03E+00,5.20E+01,2.29E+03,4.64E+02,1.07E+03,4.41E+02,3.7799999999999997e+001 -1.2222000000000000e+002,
2.40E+05,4.54E+00,5.20E+01,2.72E+03,5.41E+02,1.19E+03,5.15E+02,3.7799999999999997e+001 -1.2222000000000000e+002,
2.70E+05,4.07E+00,5.20E+01,2.02E+03,3.39E+02,7.56E+02,3.40E+02,3.7810000000000002e+001 -1.2222000000000000e+002,
3.02E+05,5.35E+00,5.20E+01,2.94E+03,5.36E+02,1.03E+03,5.21E+02,3.7810000000000002e+001 -1.2222000000000000e+002,
2.70E+05,3.16E+00,5.20E+01,2.03E+03,4.86E+02,7.87E+02,4.59E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
3.15E+05,4.77E+00,5.20E+01,1.43E+03,2.29E+02,6.12E+02,2.13E+02,3.7810000000000002e+001 -1.2223000000000000e+002,
3.90E+05,8.16E+00,5.20E+01,2.93E+03,4.02E+02,1.02E+03,3.80E+02,3.7810000000000002e+001 -1.2222000000000000e+002,
4.10E+05,8.88E+00,5.20E+01,2.32E+03,2.92E+02,8.61E+02,2.58E+02,3.7810000000000002e+001 -1.2223000000000000e+002,
3.52E+05,6.86E+00,5.20E+01,2.49E+03,3.13E+02,9.53E+02,3.27E+02,3.7810000000000002e+001 -1.2223999999999999e+002,
2.87E+05,6.03E+00,5.20E+01,1.49E+03,2.38E+02,6.34E+02,2.56E+02,3.7810000000000002e+001 -1.2223999999999999e+002,
3.49E+05,7.51E+00,5.20E+01,2.81E+03,3.65E+02,8.78E+02,3.52E+02,3.7810000000000002e+001 -1.2223000000000000e+002,
2.44E+05,2.75E+00,5.20E+01,2.09E+03,5.50E+02,9.18E+02,4.83E+02,3.7810000000000002e+001 -1.2223999999999999e+002,
2.12E+05,2.19E+00,5.20E+01,8.88E+02,1.68E+02,3.60E+02,1.75E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
2.18E+05,3.01E+00,5.20E+01,2.09E+03,5.10E+02,1.20E+03,4.88E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
2.70E+05,3.67E+00,5.20E+01,2.51E+03,5.02E+02,1.05E+03,5.18E+02,3.7810000000000002e+001 -1.2223999999999999e+002,
2.19E+05,3.23E+00,4.60E+01,3.23E+03,8.35E+02,1.37E+03,7.47E+02,3.7810000000000002e+001 -1.2225000000000000e+002,
2.25E+05,2.93E+00,4.20E+01,4.12E+03,1.07E+03,1.72E+03,1.02E+03,3.7799999999999997e+001 -1.2225000000000000e+002,
2.50E+05,2.14E+00,4.30E+01,2.36E+03,7.92E+02,1.36E+03,7.22E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
1.71E+05,1.61E+00,4.10E+01,1.47E+03,4.69E+02,1.06E+03,4.13E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
1.94E+05,1.39E+00,2.90E+01,2.47E+03,8.64E+02,1.34E+03,7.73E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
1.25E+05,2.32E+00,2.70E+01,1.63E+03,4.92E+02,1.17E+03,4.29E+02,3.7789999999999999e+001 -1.2223999999999999e+002,
9.75E+04,1.78E+00,4.50E+01,1.79E+03,5.26E+02,1.48E+03,4.60E+02,3.7789999999999999e+001 -1.2225000000000000e+002,
1.25E+05,2.65E+00,5.00E+01,6.29E+02,1.88E+02,7.42E+02,1.96E+02,3.7789999999999999e+001 -1.2225000000000000e+002,
1.39E+05,2.18E+00,5.20E+01,1.34E+03,3.91E+02,1.09E+03,3.63E+02,3.7789999999999999e+001 -1.2225000000000000e+002,
1.17E+05,2.23E+00,3.60E+01,1.68E+03,6.06E+02,1.65E+03,5.43E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
1.52E+05,1.65E+00,4.30E+01,2.34E+03,6.47E+02,1.71E+03,6.44E+02,3.7799999999999997e+001 -1.2225000000000000e+002,
1.27E+05,2.27E+00,5.20E+01,9.96E+02,2.28E+02,7.31E+02,2.28E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.29E+05,2.16E+00,5.20E+01,1.59E+03,3.73E+02,1.12E+03,3.47E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.41E+05,2.13E+00,5.20E+01,1.59E+03,3.98E+02,1.01E+03,3.35E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.83E+05,2.63E+00,4.70E+01,2.05E+03,5.88E+02,1.21E+03,5.54E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.47E+05,2.38E+00,5.20E+01,1.19E+03,2.89E+02,7.72E+02,2.57E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
1.23E+05,2.96E+00,5.20E+01,1.80E+03,4.20E+02,1.32E+03,4.01E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.69E+05,2.52E+00,4.90E+01,2.84E+03,7.49E+02,1.49E+03,6.77E+02,3.7799999999999997e+001 -1.2223999999999999e+002,
1.27E+05,1.94E+00,5.20E+01,7.83E+02,1.84E+02,4.88E+02,1.86E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
1.28E+05,1.90E+00,5.10E+01,1.59E+03,4.14E+02,9.49E+02,3.92E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
1.24E+05,2.25E+00,5.00E+01,1.75E+03,4.80E+02,1.15E+03,4.15E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
1.12E+05,2.39E+00,5.20E+01,1.25E+03,2.99E+02,8.44E+02,2.80E+02,3.7799999999999997e+001 -1.2223000000000000e+002,
1.13E+05,2.19E+00,4.30E+01,5.96E+03,1.34E+03,4.37E+03,1.23E+03,3.7789999999999999e+001 -1.2223000000000000e+002,
